Industry,Company_Size,Year,Quarter,AI_Adoption_Rate_Pct,Self_Reported_Productivity_Gain_Pct,Measured_Productivity_Gain_Pct,AI_Tools_Used,Hrs_Saved_Per_Week_Per_Employee,Training_Hours_Per_Employee,Has_OCM_Program,Has_Measurement_Baseline,Adoption_Score,Source
Tech,Enterprise (5000+),2025,Q1,94,48,22,5.2,4.8,18.0,Yes,Yes,82,McKinsey State of AI 2025
Tech,Mid-market (500-5000),2025,Q1,88,41,8,3.8,3.9,8.5,No,No,51,McKinsey State of AI 2025
Tech,SMB (<500),2025,Q1,72,36,14,2.9,3.2,4.2,No,Yes,58,McKinsey State of AI 2025
Finance,Enterprise (5000+),2025,Q1,89,44,19,4.6,4.1,22.0,Yes,Yes,79,McKinsey State of AI 2025
Finance,Mid-market (500-5000),2025,Q1,76,38,6,3.2,3.5,9.0,No,No,48,McKinsey State of AI 2025
Finance,SMB (<500),2025,Q1,58,30,11,2.4,2.8,3.5,No,No,43,McKinsey State of AI 2025
Healthcare,Enterprise (5000+),2025,Q1,71,39,21,3.9,3.6,16.0,Yes,Yes,76,McKinsey State of AI 2025
Healthcare,Mid-market (500-5000),2025,Q1,62,33,5,2.8,2.9,7.0,No,No,44,McKinsey State of AI 2025
Healthcare,SMB (<500),2025,Q1,44,27,9,1.8,2.1,2.5,No,No,37,McKinsey State of AI 2025
Consulting,Enterprise (5000+),2025,Q1,92,52,24,5.8,5.4,20.0,Yes,Yes,85,McKinsey State of AI 2025
Consulting,Mid-market (500-5000),2025,Q1,84,44,9,4.2,4.1,10.0,Yes,No,56,McKinsey State of AI 2025
Consulting,SMB (<500),2025,Q1,69,37,16,3.1,3.5,5.0,No,Yes,61,McKinsey State of AI 2025
Manufacturing,Enterprise (5000+),2025,Q1,68,35,18,3.6,3.2,14.0,Yes,Yes,73,McKinsey State of AI 2025
Manufacturing,Mid-market (500-5000),2025,Q1,55,28,4,2.5,2.4,6.0,No,No,40,McKinsey State of AI 2025
Manufacturing,SMB (<500),2025,Q1,38,22,8,1.5,1.8,2.0,No,No,32,McKinsey State of AI 2025
Retail,Enterprise (5000+),2025,Q1,74,40,16,4.0,3.7,12.0,Yes,Yes,70,McKinsey State of AI 2025
Retail,Mid-market (500-5000),2025,Q1,61,32,3,2.7,2.8,5.5,No,No,42,McKinsey State of AI 2025
Retail,SMB (<500),2025,Q1,42,25,7,1.6,2.0,1.8,No,No,34,McKinsey State of AI 2025
Tech,Enterprise (5000+),2025,Q2,96,51,25,5.5,5.1,20.0,Yes,Yes,84,Stanford HAI AI Index 2026
Tech,Mid-market (500-5000),2025,Q2,91,44,10,4.1,4.2,9.0,No,No,53,Stanford HAI AI Index 2026
Tech,SMB (<500),2025,Q2,76,38,15,3.1,3.4,4.8,No,Yes,60,Stanford HAI AI Index 2026
Finance,Enterprise (5000+),2025,Q2,92,47,21,5.0,4.4,24.0,Yes,Yes,81,Stanford HAI AI Index 2026
Finance,Mid-market (500-5000),2025,Q2,80,40,8,3.5,3.8,10.0,No,No,50,Stanford HAI AI Index 2026
Healthcare,Enterprise (5000+),2025,Q2,76,42,23,4.2,3.9,18.0,Yes,Yes,78,Stanford HAI AI Index 2026
Healthcare,Mid-market (500-5000),2025,Q2,66,35,6,3.0,3.1,7.5,No,No,46,Stanford HAI AI Index 2026
Consulting,Enterprise (5000+),2025,Q2,95,55,27,6.2,5.8,22.0,Yes,Yes,87,Stanford HAI AI Index 2026
Manufacturing,Enterprise (5000+),2025,Q2,72,37,20,3.8,3.4,15.0,Yes,Yes,75,Stanford HAI AI Index 2026
Manufacturing,Mid-market (500-5000),2025,Q2,59,30,5,2.6,2.6,6.5,No,No,42,Stanford HAI AI Index 2026
Tech,Enterprise (5000+),2025,Q3,97,53,27,5.8,5.4,22.0,Yes,Yes,86,Stanford HAI AI Index 2026
Tech,Mid-market (500-5000),2025,Q3,93,46,11,4.3,4.4,10.0,Yes,No,57,Stanford HAI AI Index 2026
Finance,Enterprise (5000+),2025,Q3,94,49,23,5.2,4.7,26.0,Yes,Yes,83,Stanford HAI AI Index 2026
Healthcare,Enterprise (5000+),2025,Q3,80,44,25,4.5,4.2,20.0,Yes,Yes,80,Stanford HAI AI Index 2026
Consulting,Enterprise (5000+),2025,Q3,97,57,29,6.6,6.1,24.0,Yes,Yes,89,Stanford HAI AI Index 2026
Manufacturing,Enterprise (5000+),2025,Q3,75,39,21,4.0,3.6,16.0,Yes,Yes,77,Stanford HAI AI Index 2026
Retail,Enterprise (5000+),2025,Q3,78,42,18,4.2,4.0,14.0,Yes,Yes,72,Stanford HAI AI Index 2026
Tech,Enterprise (5000+),2025,Q4,98,55,29,6.1,5.7,24.0,Yes,Yes,88,Digital Applied State of AI Agents 2026
Tech,Mid-market (500-5000),2025,Q4,95,48,13,4.6,4.7,11.5,Yes,No,60,Digital Applied State of AI Agents 2026
Finance,Enterprise (5000+),2025,Q4,96,51,25,5.5,5.0,28.0,Yes,Yes,85,Digital Applied State of AI Agents 2026
Healthcare,Enterprise (5000+),2025,Q4,83,46,26,4.8,4.5,22.0,Yes,Yes,82,Digital Applied State of AI Agents 2026
Consulting,Enterprise (5000+),2025,Q4,98,59,31,7.0,6.4,26.0,Yes,Yes,91,Digital Applied State of AI Agents 2026
Manufacturing,Enterprise (5000+),2025,Q4,78,41,23,4.3,3.9,18.0,Yes,Yes,79,Digital Applied State of AI Agents 2026
Retail,Enterprise (5000+),2025,Q4,81,44,20,4.5,4.2,16.0,Yes,Yes,74,Digital Applied State of AI Agents 2026
Tech,Enterprise (5000+),2026,Q1,99,57,31,6.4,6.0,26.0,Yes,Yes,90,Stanford HAI AI Index 2026
Tech,Mid-market (500-5000),2026,Q1,96,50,15,4.8,5.0,13.0,Yes,No,63,Stanford HAI AI Index 2026
Tech,SMB (<500),2026,Q1,82,42,18,3.5,3.9,6.0,No,Yes,64,Stanford HAI AI Index 2026
Finance,Enterprise (5000+),2026,Q1,97,53,27,5.8,5.3,30.0,Yes,Yes,87,Stanford HAI AI Index 2026
Finance,Mid-market (500-5000),2026,Q1,86,44,10,4.0,4.2,12.0,Yes,No,54,Stanford HAI AI Index 2026
Healthcare,Enterprise (5000+),2026,Q1,86,48,28,5.0,4.8,24.0,Yes,Yes,84,Stanford HAI AI Index 2026
Healthcare,Mid-market (500-5000),2026,Q1,72,38,8,3.3,3.4,9.0,No,No,48,Stanford HAI AI Index 2026
Consulting,Enterprise (5000+),2026,Q1,99,61,33,7.4,6.8,28.0,Yes,Yes,93,Stanford HAI AI Index 2026
Manufacturing,Enterprise (5000+),2026,Q1,81,43,25,4.6,4.2,20.0,Yes,Yes,81,Stanford HAI AI Index 2026
Manufacturing,Mid-market (500-5000),2026,Q1,65,33,7,2.8,2.9,8.0,No,No,44,Stanford HAI AI Index 2026
Retail,Enterprise (5000+),2026,Q1,84,46,22,4.8,4.5,18.0,Yes,Yes,76,Stanford HAI AI Index 2026
Retail,Mid-market (500-5000),2026,Q1,68,36,5,3.0,3.1,7.0,No,No,44,Stanford HAI AI Index 2026
